ID	peaks-ENCFF128AKC.mapped.json	peaks-ENCFF663QIZ.mapped.json	strand	peak-union	counts-ENCFF128AKC.mapped.json	counts-ENCFF663QIZ.mapped.json	count-union	union-max-diff	aliases	object_type	display_name	biotype	description	seq_region_name	parent	is_canonical
ENSG00000167100		{'chr17:50112930-50112947', 'chr17:50112922-50112930'}	-	{'chr17:50112930-50112947', 'chr17:50112922-50112930'}	0	2	2	0	"[""FLJ36890""]"	Gene	SAMD14	protein_coding	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	17		
ENSG00000169696	{'chr17:82005122-82005156', 'chr17:82005161-82005234'}		+	{'chr17:82005122-82005156', 'chr17:82005161-82005234'}	2	0	2	0	"[""UBXD9"",""TUG"",""UBXN9"",""ASPS"",""ASPL""]"	Gene	ASPSCR1	protein_coding	ASPSCR1 tether for SLC2A4, UBX domain containing [Source:HGNC Symbol;Acc:HGNC:13825]	17		
ENSG00000169813	{'chr10:43407272-43407310', 'chr10:43407403-43407435'}		-	{'chr10:43407272-43407310', 'chr10:43407403-43407435'}	2	0	2	0	"[""HNRPF""]"	Gene	HNRNPF	protein_coding	heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]	10		
ENSG00000175727	{'chr12:122093730-122093745', 'chr12:122095252-122095356'}		+	{'chr12:122093730-122093745', 'chr12:122095252-122095356'}	2	0	2	0	"[""MIR"",""KIAA0867"",""MONDOA"",""bHLHe36""]"	Gene	MLXIP	protein_coding	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	12		
ENSG00000176155	{'chr17:82149865-82149929', 'chr17:82149674-82149723'}		-	{'chr17:82149865-82149929', 'chr17:82149674-82149723'}	2	0	2	0	"[""FLJ00130"",""FLJ23754""]"	Gene	CCDC57	protein_coding	coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:HGNC:27564]	17		
ENSG00000177169	{'chr12:131918309-131918362', 'chr12:131917232-131917279'}		+	{'chr12:131918309-131918362', 'chr12:131917232-131917279'}	2	0	2	0	"[""ATG1"",""ATG1A""]"	Gene	ULK1	protein_coding	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	12		
ENSG00000182912	{'chr21:44525360-44525485', 'chr21:44522089-44522138'}		+	{'chr21:44525360-44525485', 'chr21:44522089-44522138'}	2	0	2	0	"[""C21orf90""]"	Gene	TSPEAR-AS2	lncRNA	TSPEAR antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:16428]	21		
ENSG00000183955	{'chr12:123389007-123389119', 'chr12:123384256-123384384'}		+	{'chr12:123389007-123389119', 'chr12:123384256-123384384'}	2	0	2	0	"[""SET07"",""PR-Set7"",""SET8"",""SETD8""]"	Gene	KMT5A	protein_coding	lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489]	12		
ENSG00000184007	{'chr1:31938217-31938257', 'chr1:31938257-31938311'}		-	{'chr1:31938217-31938257', 'chr1:31938257-31938311'}	2	0	2	0	"[""HU-PP-1"",""PTPCAAX2"",""PRL-2"",""OV-1"",""PRL2"",""PTP4A"",""ptp-IV1a""]"	Gene	PTP4A2	protein_coding	protein tyrosine phosphatase 4A2 [Source:HGNC Symbol;Acc:HGNC:9635]	1		
ENSG00000184029	{'chr21:38058474-38058558', 'chr21:38057264-38057333'}		-	{'chr21:38058474-38058558', 'chr21:38057264-38057333'}	2	0	2	0	"[""DCRB""]"	Gene	DSCR4	lncRNA	Down syndrome critical region 4 [Source:HGNC Symbol;Acc:HGNC:3045]	21		
ENSG00000186111	{'chr19:3698319-3698357', 'chr19:3698869-3698931'}		-	{'chr19:3698319-3698357', 'chr19:3698869-3698931'}	2	0	2	0	"[""KIAA0589"",""PIP5Kgamma"",""LCCS3""]"	Gene	PIP5K1C	protein_coding	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	19		
ENSG00000188157	{'chr1:1055214-1055262', 'chr1:1053017-1053102'}		+	{'chr1:1055214-1055262', 'chr1:1053017-1053102'}	2	0	2	0	"[""AGRIN""]"	Gene	AGRN	protein_coding	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1		
ENSG00000196228		{'chr2:108249335-108249347', 'chr2:108249318-108249335'}	+	{'chr2:108249335-108249347', 'chr2:108249318-108249335'}	0	2	2	0	"[""""]"	Gene	SULT1C3	protein_coding	sulfotransferase family 1C member 3 [Source:HGNC Symbol;Acc:HGNC:33543]	2		
ENSG00000197183	{'chr20:32584406-32584487', 'chr20:32584050-32584065'}		-	{'chr20:32584406-32584487', 'chr20:32584050-32584065'}	2	0	2	0	"[""C20orf112"",""DKFZP566G1424"",""C20orf113"",""dJ1184F4.2"",""dJ1184F4.4""]"	Gene	NOL4L	protein_coding	nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]	20		
ENSG00000197381	{'chr21:45074037-45074134', 'chr21:45155172-45155246'}		+	{'chr21:45074037-45074134', 'chr21:45155172-45155246'}	2	0	2	0	"[""ADAR2c"",""ADAR2b"",""ADAR2a"",""DRADA2"",""RED1"",""DRABA2"",""ADAR2"",""ADAR2g"",""ADAR2a-L2"",""ADAR2a-L1"",""ADAR2d"",""hRED1"",""ADAR2a-L3""]"	Gene	ADARB1	protein_coding	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	21		
ENSG00000213246		{'chr17:58352297-58352301', 'chr17:58352301-58352318'}	-	{'chr17:58352297-58352301', 'chr17:58352301-58352318'}	0	2	2	0	"[""Spt4"",""Supt4a"",""SPT4H"",""SUPT4H""]"	Gene	SUPT4H1	protein_coding	SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]	17		
ENSG00000224271	{'chr22:47814961-47815006', 'chr22:47809879-47809937'}		+	{'chr22:47814961-47815006', 'chr22:47809879-47809937'}	2	0	2	0	"[""Lnc-EPIC1""]"	Gene	EPIC1	lncRNA	epigenetically induced MYC interacting lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:27672]	22		
ENSG00000241360		{'chr22:37659220-37659254', 'chr22:37658846-37658933'}	+	{'chr22:37659220-37659254', 'chr22:37658846-37658933'}	0	2	2	0	"[""dJ37E16.5"",""FLJ32703"",""CIN""]"	Gene	PDXP	protein_coding	pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]	22		
ENSG00000247134		{'chr8:33011718-33011753', 'chr8:33013818-33013859'}	+	{'chr8:33011718-33011753', 'chr8:33013818-33013859'}	0	2	2	0	"[""""]"	Gene		lncRNA	novel transcript	8		
ENSG00000253661		{'chr8:76645585-76645593', 'chr8:76645593-76645615'}	-	{'chr8:76645585-76645593', 'chr8:76645593-76645615'}	0	2	2	0	"[""""]"	Gene	ZFHX4-AS1	lncRNA	ZFHX4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44165]	8		
ENSG00000257985		{'chr12:48022709-48022725', 'chr12:48022706-48022709'}	+	{'chr12:48022709-48022725', 'chr12:48022706-48022709'}	0	2	2	0	"[""""]"	Gene		lncRNA	novel transcript, antisense to a novel protein	12		
ENSG00000258839	{'chr16:89913946-89914007', 'chr16:89914440-89914520'}		+	{'chr16:89913946-89914007', 'chr16:89914440-89914520'}	2	0	2	0	"[""MSH-R""]"	Gene	MC1R	protein_coding	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	16		
ENSG00000264772	{'chr17:7573822-7573893', 'chr17:7573005-7573060'}		+	{'chr17:7573822-7573893', 'chr17:7573005-7573060'}	2	0	2	0	"[""""]"	Gene		lncRNA	novel transcript	17		
ENSG00000267048	{'chr16:89913946-89914007', 'chr16:89914440-89914520'}		+	{'chr16:89913946-89914007', 'chr16:89914440-89914520'}	2	0	2	0	"[""""]"	Gene		lncRNA	novel transcript (MC1R-TUBB3 readthrough)	16		
ENSG00000274272	{'chr7:100574096-100574161', 'chr7:100573723-100573809'}		-	{'chr7:100574096-100574161', 'chr7:100573723-100573809'}	2	0	2	0	"[""""]"	Gene		lncRNA	novel transcript	7		
ENSG00000277957	{'chr17:7573822-7573893', 'chr17:7573005-7573060'}		+	{'chr17:7573822-7573893', 'chr17:7573005-7573060'}	2	0	2	0	"[""""]"	Gene	SENP3-EIF4A1	protein_coding	SENP3-EIF4A1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49182]	17		
ENSG00000280607	{'chr16:29810238-29810250', 'chr16:29810791-29810812'}		+	{'chr16:29810238-29810250', 'chr16:29810791-29810812'}	2	0	2	0	"[""""]"	Gene		lncRNA	novel transcript	16		
ENSG00000285304		{'chr22:37659220-37659254', 'chr22:37658846-37658933'}	+	{'chr22:37659220-37659254', 'chr22:37658846-37658933'}	0	2	2	0	"[""""]"	Gene		protein_coding	novel protein	22		
ENSG00000285897		{'chr17:58352297-58352301', 'chr17:58352301-58352318'}	-	{'chr17:58352297-58352301', 'chr17:58352301-58352318'}	0	2	2	0	"[""""]"	Gene		protein_coding	novel transcript	17		
ENSG00000286235	{'chr20:6006305-6006383', 'chr20:6006421-6006492'}		+	{'chr20:6006305-6006383', 'chr20:6006421-6006492'}	2	0	2	0	"[""""]"	Gene		protein_coding	novel protein	20		
ENSG00000289747	{'chr3:195909480-195909599', 'chr3:195909111-195909159'}		-	{'chr3:195909480-195909599', 'chr3:195909111-195909159'}	2	0	2	0	"[""""]"	Gene		protein_coding	novel protein	3		
ENSG00000005249	{'chr7:107044796-107044898'}		+	{'chr7:107044796-107044898'}	1	0	1	0	"[""PRKAR2""]"	Gene	PRKAR2B	protein_coding	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	7		
ENSG00000032389	{'chr2:3294189-3294263'}		-	{'chr2:3294189-3294263'}	1	0	1	0	"[""TSSC1"",""EIPR-1""]"	Gene	EIPR1	protein_coding	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	2		
ENSG00000034053	{'chr15:28915942-28916082'}		+	{'chr15:28915942-28916082'}	1	0	1	0	"[""X11L"",""HsT16821"",""LIN-10"",""D15S1518E"",""MGC:14091"",""MINT2""]"	Gene	APBA2	protein_coding	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	15		
ENSG00000049618		{'chr6:156779625-156779671'}	+	{'chr6:156779625-156779671'}	0	1	1	0	"[""p250R"",""ELD/OSA1"",""SMARCF2"",""6A3-5"",""KIAA1235"",""DAN15"",""BAF250b""]"	Gene	ARID1B	protein_coding	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	6		
ENSG00000063169	{'chr19:47672617-47672760'}		+	{'chr19:47672617-47672760'}	1	0	1	0	"[""GLTSCR1"",""SMARCK1""]"	Gene	BICRA	protein_coding	BRD4 interacting chromatin remodeling complex associated protein [Source:HGNC Symbol;Acc:HGNC:4332]	19		
ENSG00000065613	{'chr10:103967303-103967379'}		+	{'chr10:103967303-103967379'}	1	0	1	0	"[""KIAA0204"",""STK2"",""se20-9""]"	Gene	SLK	protein_coding	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]	10		
ENSG00000066032		{'chr2:79568905-79568927'}	+	{'chr2:79568905-79568927'}	0	1	1	0	"[""CAP-R"",""CT114""]"	Gene	CTNNA2	protein_coding	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	2		
ENSG00000066336	{'chr11:47355623-47355678'}		-	{'chr11:47355623-47355678'}	1	0	1	0	"[""SPI-1"",""OF"",""PU.1"",""SPI-A"",""SFPI1""]"	Gene	SPI1	protein_coding	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	11		
ENSG00000068078	{'chr4:1802119-1802199'}		+	{'chr4:1802119-1802199'}	1	0	1	0	"[""ACH"",""CD333"",""JTK4"",""CEK2""]"	Gene	FGFR3	protein_coding	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	4		
ENSG00000070831	{'chr1:22052961-22053022'}		+	{'chr1:22052961-22053022'}	1	0	1	0	"[""CDC42Hs"",""G25K""]"	Gene	CDC42	protein_coding	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	1		
ENSG00000075618	{'chr7:5594553-5594595'}		+	{'chr7:5594553-5594595'}	1	0	1	0	"[""FLJ38511"",""SNL"",""p55""]"	Gene	FSCN1	protein_coding	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	7		
ENSG00000077454	{'chr7:100574096-100574161'}		-	{'chr7:100574096-100574161'}	1	0	1	0	"[""LRN"",""LRRN1""]"	Gene	LRCH4	protein_coding	leucine rich repeats and calponin homology domain containing 4 [Source:HGNC Symbol;Acc:HGNC:6691]	7		
ENSG00000078369	{'chr1:1890574-1890622'}		-	{'chr1:1890574-1890622'}	1	0	1	0	"[""""]"	Gene	GNB1	protein_coding	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	1		
ENSG00000078808	{'chr1:1220706-1220744'}		-	{'chr1:1220706-1220744'}	1	0	1	0	"[""Cab45""]"	Gene	SDF4	protein_coding	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	1		
ENSG00000087460	{'chr20:58892593-58892657'}		+	{'chr20:58892593-58892657'}	1	0	1	0	"[""SCG6"",""NESP"",""GNASXL"",""SgVI"",""GPSA"",""NESP55"",""GNAS1""]"	Gene	GNAS	protein_coding	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	20		
ENSG00000091542	{'chr17:18183893-18183955'}		+	{'chr17:18183893-18183955'}	1	0	1	0	"[""FLJ20308"",""OFOXD1""]"	Gene	ALKBH5	protein_coding	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]	17		
ENSG00000097007	{'chr9:130886585-130886631'}		+	{'chr9:130886585-130886631'}	1	0	1	0	"[""JTK7"",""c-ABL"",""ABL"",""p150""]"	Gene	ABL1	protein_coding	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	9		
ENSG00000099617		{'chr19:1286042-1286153'}	+	{'chr19:1286042-1286153'}	0	1	1	0	"[""EPLG6"",""ELF-1"",""LERK6""]"	Gene	EFNA2	protein_coding	ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]	19		
ENSG00000100154		{'chr22:28070651-28070676'}	-	{'chr22:28070651-28070676'}	0	1	1	0	"[""KIAA1043""]"	Gene	TTC28	protein_coding	tetratricopeptide repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29179]	22		
ENSG00000100162	{'chr22:41939995-41940066'}		-	{'chr22:41939995-41940066'}	1	0	1	0	"[""C22orf18"",""MGC861"",""Pane1"",""CENP-M""]"	Gene	CENPM	protein_coding	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]	22		
ENSG00000100219	{'chr22:28800382-28800485'}		-	{'chr22:28800382-28800485'}	1	0	1	0	"[""XBP2""]"	Gene	XBP1	protein_coding	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	22		
ENSG00000101152		{'chr20:63895400-63895529'}	+	{'chr20:63895400-63895529'}	0	1	1	0	"[""CLN4"",""DNAJC5A"",""FLJ00118"",""FLJ13070""]"	Gene	DNAJC5	protein_coding	DnaJ heat shock protein family (Hsp40) member C5 [Source:HGNC Symbol;Acc:HGNC:16235]	20		
ENSG00000101160	{'chr20:59007039-59007100'}		-	{'chr20:59007039-59007100'}	1	0	1	0	"[""CTSX""]"	Gene	CTSZ	protein_coding	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	20		
ENSG00000101246	{'chr20:63700130-63700180'}		-	{'chr20:63700130-63700180'}	1	0	1	0	"[""ARL18"",""ARP"",""Arp1""]"	Gene	ARFRP1	protein_coding	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	20		
ENSG00000101255	{'chr20:381250-381321'}		+	{'chr20:381250-381321'}	1	0	1	0	"[""TRB3"",""C20orf97"",""dJ1103G7.3""]"	Gene	TRIB3	protein_coding	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	20		
ENSG00000102145	{'chrX:48790105-48790192'}		+	{'chrX:48790105-48790192'}	1	0	1	0	"[""GF1"",""ERYF1"",""NF-E1"",""NFE1"",""GATA-1""]"	Gene	GATA1	protein_coding	GATA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4170]	X		
ENSG00000103202	{'chr16:397219-397298'}		+	{'chr16:397219-397298'}	1	0	1	0	"[""nm23-H4"",""NM23H4"",""NDPKD""]"	Gene	NME4	protein_coding	NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]	16		
ENSG00000103326	{'chr16:543939-543977'}		+	{'chr16:543939-543977'}	1	0	1	0	"[""SOLH""]"	Gene	CAPN15	protein_coding	calpain 15 [Source:HGNC Symbol;Acc:HGNC:11182]	16		
ENSG00000104714	{'chr8:695422-695489'}		-	{'chr8:695422-695489'}	1	0	1	0	"[""""]"	Gene	ERICH1	protein_coding	glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:27234]	8		
ENSG00000104731	{'chr16:87738322-87738386'}		-	{'chr16:87738322-87738386'}	1	0	1	0	"[""DKFZp434G0522""]"	Gene	KLHDC4	protein_coding	kelch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25272]	16		
ENSG00000104885	{'chr19:2198367-2198398'}		+	{'chr19:2198367-2198398'}	1	0	1	0	"[""KIAA1814"",""KMT4"",""DOT1""]"	Gene	DOT1L	protein_coding	DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948]	19		
ENSG00000105245	{'chr19:40687673-40687724'}		-	{'chr19:40687673-40687724'}	1	0	1	0	"[""CTG3a"",""NUMBR"",""NUMBLIKE"",""TNRC23"",""NUMB-R"",""CAG3A""]"	Gene	NUMBL	protein_coding	NUMB like endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8061]	19		
ENSG00000105329	{'chr19:41353775-41353827'}		-	{'chr19:41353775-41353827'}	1	0	1	0	"[""DPD1"",""TGFbeta"",""CED"",""TGFB""]"	Gene	TGFB1	protein_coding	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	19		
ENSG00000105655	{'chr19:18437362-18437372'}		-	{'chr19:18437362-18437372'}	1	0	1	0	"[""Ino1"",""IPS"",""INOS""]"	Gene	ISYNA1	protein_coding	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	19		
ENSG00000105656	{'chr19:18443356-18443391'}		-	{'chr19:18443356-18443391'}	1	0	1	0	"[""C19orf17"",""ELL1"",""PPP1R68"",""Men""]"	Gene	ELL	protein_coding	elongation factor for RNA polymerase II [Source:HGNC Symbol;Acc:HGNC:23114]	19		
ENSG00000106462	{'chr7:148883724-148883810'}		-	{'chr7:148883724-148883810'}	1	0	1	0	"[""KMT6A"",""EZH1"",""ENX-1"",""KMT6""]"	Gene	EZH2	protein_coding	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	7		
ENSG00000106927	{'chr9:114060231-114060270'}		-	{'chr9:114060231-114060270'}	1	0	1	0	"[""ITILC"",""EDC1"",""UTI"",""ITI"",""ITIL"",""HI30"",""HCP"",""IATIL""]"	Gene	AMBP	protein_coding	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	9		
ENSG00000108344	{'chr17:39997835-39997904'}		+	{'chr17:39997835-39997904'}	1	0	1	0	"[""P58"",""S3"",""Rpn3"",""TSTA2""]"	Gene	PSMD3	protein_coding	proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]	17		
ENSG00000108953	{'chr17:1399703-1399746'}		-	{'chr17:1399703-1399746'}	1	0	1	0	"[""FLJ45465""]"	Gene	YWHAE	protein_coding	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	17		
ENSG00000109685	{'chr4:1871721-1871752'}		+	{'chr4:1871721-1871752'}	1	0	1	0	"[""MMSET"",""KMT3G"",""WHSC1""]"	Gene	NSD2	protein_coding	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	4		
ENSG00000112584	{'chr6:170398845-170398921'}		+	{'chr6:170398845-170398921'}	1	0	1	0	"[""SAN1"",""KIAA1838"",""CCPG"",""PGCC1""]"	Gene	FAM120B	protein_coding	family with sequence similarity 120B [Source:HGNC Symbol;Acc:HGNC:21109]	6		
ENSG00000112787	{'chr12:132550482-132550540'}		+	{'chr12:132550482-132550540'}	1	0	1	0	"[""KIAA1545""]"	Gene	FBRSL1	protein_coding	fibrosin like 1 [Source:HGNC Symbol;Acc:HGNC:29308]	12		
ENSG00000113716	{'chr5:150000963-150001032'}		+	{'chr5:150000963-150001032'}	1	0	1	0	"[""SMF"",""KIAA0194"",""HMGX3""]"	Gene	HMGXB3	protein_coding	HMG-box containing 3 [Source:HGNC Symbol;Acc:HGNC:28982]	5		
ENSG00000114166	{'chr3:20040398-20040510'}		+	{'chr3:20040398-20040510'}	1	0	1	0	"[""PCAF"",""GCN5"",""P/CAF"",""GCN5L""]"	Gene	KAT2B	protein_coding	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	3		
ENSG00000114948		{'chr2:206606917-206606940'}	+	{'chr2:206606917-206606940'}	0	1	1	0	"[""MDC3""]"	Gene	ADAM23	protein_coding	ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]	2		
ENSG00000115756	{'chr2:10400066-10400126'}		+	{'chr2:10400066-10400126'}	1	0	1	0	"[""HLP2"",""VILIP-3"",""BDR1""]"	Gene	HPCAL1	protein_coding	hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]	2		
ENSG00000116857	{'chr1:201134978-201135037'}		-	{'chr1:201134978-201135037'}	1	0	1	0	"[""TMEM9A""]"	Gene	TMEM9	protein_coding	transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]	1		
ENSG00000117069		{'chr1:76971223-76971254'}	+	{'chr1:76971223-76971254'}	0	1	1	0	"[""ST6GalNAcV"",""MGC3184"",""SIAT7E""]"	Gene	ST6GALNAC5	protein_coding	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]	1		
ENSG00000117410	{'chr1:43975828-43975850'}		+	{'chr1:43975828-43975850'}	1	0	1	0	"[""VMA16"",""ATP6F"",""HATPL""]"	Gene	ATP6V0B	protein_coding	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	1		
ENSG00000117713	{'chr1:26696178-26696216'}		+	{'chr1:26696178-26696216'}	1	0	1	0	"[""BAF250"",""P270"",""C10rf4"",""C1orf4"",""SMARCF1"",""B120"",""BAF250a""]"	Gene	ARID1A	protein_coding	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	1		
ENSG00000117868	{'chr7:158829286-158829364'}		-	{'chr7:158829286-158829364'}	1	0	1	0	"[""KIAA1228"",""CHR2SYT"",""FAM62B""]"	Gene	ESYT2	protein_coding	extended synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:22211]	7		
ENSG00000123066	{'chr12:116277280-116277331'}		-	{'chr12:116277280-116277331'}	1	0	1	0	"[""KIAA1025"",""TRAP240L"",""THRAP2""]"	Gene	MED13L	protein_coding	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	12		
ENSG00000123143	{'chr19:14441223-14441312'}		+	{'chr19:14441223-14441312'}	1	0	1	0	"[""PRKCL1"",""PAK1"",""PRK1"",""DBK"",""PKN"",""MGC46204""]"	Gene	PKN1	protein_coding	protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]	19		
ENSG00000124299	{'chr19:33459168-33459261'}		-	{'chr19:33459168-33459261'}	1	0	1	0	"[""""]"	Gene	PEPD	protein_coding	peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]	19		
ENSG00000124702	{'chr6:43014273-43014344'}		+	{'chr6:43014273-43014344'}	1	0	1	0	"[""hPeas"",""dJ20C7.3"",""PEAS""]"	Gene	KLHDC3	protein_coding	kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704]	6		
ENSG00000125520	{'chr20:63740404-63740515'}		+	{'chr20:63740404-63740515'}	1	0	1	0	"[""HDBP1"",""GEF"",""Si-1-2"",""Si-1-2-19""]"	Gene	SLC2A4RG	protein_coding	SLC2A4 regulator [Source:HGNC Symbol;Acc:HGNC:15930]	20		
ENSG00000125898		{'chr20:851954-851979'}	+	{'chr20:851954-851979'}	0	1	1	0	"[""C20orf55"",""bA371L19.3""]"	Gene	FAM110A	protein_coding	family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]	20		
ENSG00000126091	{'chr1:43872316-43872401'}		+	{'chr1:43872316-43872401'}	1	0	1	0	"[""SIAT6"",""MRT12""]"	Gene	ST3GAL3	protein_coding	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	1		
ENSG00000126602	{'chr16:3717385-3717488'}		-	{'chr16:3717385-3717488'}	1	0	1	0	"[""HSP90L"",""HSP75""]"	Gene	TRAP1	protein_coding	TNF receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16264]	16		
ENSG00000126705	{'chr1:27599751-27599817'}		-	{'chr1:27599751-27599817'}	1	0	1	0	"[""DJ159A19.3"",""RP1-159A19.1""]"	Gene	AHDC1	protein_coding	AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]	1		
ENSG00000127561	{'chr16:1993200-1993298'}		+	{'chr16:1993200-1993298'}	1	0	1	0	"[""""]"	Gene	SYNGR3	protein_coding	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	16		
ENSG00000127663	{'chr19:5047910-5047960'}		+	{'chr19:5047910-5047960'}	1	0	1	0	"[""TDRD14B"",""KIAA0876"",""JMJD2B""]"	Gene	KDM4B	protein_coding	lysine demethylase 4B [Source:HGNC Symbol;Acc:HGNC:29136]	19		
ENSG00000130024	{'chr6:169723992-169724051'}		-	{'chr6:169723992-169724051'}	1	0	1	0	"[""FLJ10975"",""SMARCG4"",""XAP135"",""BAF45a""]"	Gene	PHF10	protein_coding	PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]	6		
ENSG00000130382	{'chr19:6229078-6229130'}		-	{'chr19:6229078-6229130'}	1	0	1	0	"[""YEATS1"",""ENL"",""LTG19""]"	Gene	MLLT1	protein_coding	MLLT1 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7134]	19		
ENSG00000130396	{'chr6:167827048-167827125'}		+	{'chr6:167827048-167827125'}	1	0	1	0	"[""MLLT4"",""AF6"",""AF-6""]"	Gene	AFDN	protein_coding	afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]	6		
ENSG00000130402	{'chr19:38649363-38649435'}		+	{'chr19:38649363-38649435'}	1	0	1	0	"[""FSGS1""]"	Gene	ACTN4	protein_coding	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	19		
ENSG00000130511	{'chr19:18419633-18419728'}		+	{'chr19:18419633-18419728'}	1	0	1	0	"[""""]"	Gene	SSBP4	protein_coding	single stranded DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:15676]	19		
